title,genre_ids,year,original_language,TMDb_Rating
The Phantom,"[12, 28]",1996,en,4.7
All the Pretty Horses,"[18, 10749, 37]",2000,en,5.8
Nixon,"[36, 18]",1995,en,7.1
The Ghost Writer,"[53, 9648]",2010,en,6.7
Deep Rising,"[12, 28, 27, 878]",1998,en,6.0
Miracle at St. Anna,"[18, 10752]",2008,en,6.3
Curse of the Golden Flower,"[28, 18, 14]",2006,zh,6.6
Bangkok Dangerous,"[28, 80, 53]",2008,en,5.0
Big Trouble,"[28, 35, 53]",2002,en,6.3
Love in the Time of Cholera,"[18, 10749]",2007,en,6.4
Shadow Conspiracy,"[28, 53]",1997,en,4.0
Johnny English Reborn,"[80, 12, 28, 35, 53]",2011,en,6.0
Foodfight!,"[16, 28, 35, 10751]",2012,en,2.3
Argo,"[18, 53]",2012,en,7.1
The Fugitive,"[12, 28, 53, 80, 9648]",1993,en,7.2
The Bounty Hunter,[28],2010,en,5.5
Sleepers,"[80, 18, 53]",1996,en,7.3
Rambo: First Blood Part II,"[28, 12, 53, 10752]",1985,en,6.3
The Juror,"[18, 53]",1996,en,5.5
Pinocchio,"[16, 10751]",1940,en,6.9
Heaven's Gate,"[28, 18, 36, 37]",1980,en,6.4
Underworld: Evolution,"[14, 28, 878, 53]",2006,en,6.4
Victor Frankenstein,"[18, 878, 53]",2015,en,5.6
Finding Forrester,[18],2000,en,7.0
28 Days,"[35, 18]",2000,en,6.0
Unleashed,"[28, 80]",2005,en,6.6
The Sweetest Thing,"[10749, 35]",2002,en,5.3
The Firm,"[18, 9648, 53]",1993,en,6.6
Charlie St. Cloud,[18],2010,en,6.8
The Mechanic,"[28, 53, 80]",2011,en,6.3
21 Jump Street,"[28, 35, 80]",2012,en,6.7
Notting Hill,"[10749, 35, 18]",1999,en,7.0
Chicken Run,"[16, 35, 10751]",2000,en,6.5
Along Came Polly,"[35, 10749]",2004,en,5.8
Boomerang,"[35, 10749]",1992,en,5.4
The Heat,"[28, 35, 80]",2013,en,6.5
Cleopatra,"[18, 36, 10749]",1963,en,6.7
Here Comes the Boom,[35],2012,en,6.0
High Crimes,"[18, 9648, 53, 80]",2002,en,6.1
The Mirror Has Two Faces,"[35, 18, 10749]",1996,en,6.5
The Mothman Prophecies,"[18, 27, 9648]",2002,en,6.1
Brüno,[35],2009,en,5.4
Licence to Kill,"[12, 28, 53]",1989,en,5.9
Red Riding Hood,"[14, 53, 27]",2011,en,5.6
15 Minutes,"[28, 80, 53]",2001,en,5.7
Super Mario Bros.,"[12, 35, 10751, 14]",1993,en,4.0
Lord of War,"[80, 18, 53]",2005,en,7.0
Hero,"[18, 12, 28, 36]",2002,zh,7.2
One for the Money,"[28, 35, 80]",2012,en,5.3
The Interview,"[28, 35]",2014,en,6.1
The Warrior's Way,"[12, 14, 28, 37, 53]",2010,en,6.3
Micmacs,"[28, 35, 80]",2009,fr,6.8
8 Mile,[18],2002,en,6.8
Why I Did (Not) Eat My Father,"[12, 35, 16]",2015,fr,5.3
A Knight's Tale,"[12, 18, 10749, 28]",2001,en,6.6
The Medallion,"[53, 14, 28, 35]",2003,en,5.3
The Sixth Sense,"[9648, 53, 18]",1999,en,7.7
Man on a Ledge,"[28, 53, 80]",2012,en,6.2
The Big Year,[35],2011,en,5.6
The Karate Kid,[18],1984,en,6.9
American Hustle,"[18, 80]",2013,en,6.8
The Proposal,"[35, 10749, 18]",2009,en,6.7
Double Jeopardy,"[80, 18, 9648, 53]",1999,en,6.2
Back to the Future Part II,"[12, 35, 10751, 878]",1989,en,7.4
Lucy,"[28, 878]",2014,en,6.3
Fifty Shades of Grey,"[18, 10749, 53]",2015,en,5.2
Spy Kids 3-D: Game Over,"[28, 12, 35, 10751, 878]",2003,en,4.7
A Time to Kill,"[80, 18, 53]",1996,en,7.0
Cheaper by the Dozen,[35],2003,en,6.0
Lone Survivor,"[28, 18, 53, 10752]",2013,en,7.4
A League of Their Own,[35],1992,en,6.7
The Conjuring 2,[27],2016,en,7.0
The Social Network,[18],2010,en,7.1
He's Just Not That Into You,"[35, 10749, 18]",2009,en,6.2
Scary Movie 4,[35],2006,en,5.3
Scream 3,"[27, 9648]",2000,en,5.7
Back to the Future Part III,"[12, 35, 10751, 878]",1990,en,7.1
Get Hard,[35],2015,en,5.9
Dracula,"[10749, 27]",1992,en,7.1
Julie & Julia,"[10749, 18]",2009,en,6.6
42,[18],2013,en,6.8
The Talented Mr. Ripley,"[53, 80, 18]",1999,en,7.0
Dumb and Dumber To,[35],2014,en,5.4
Eight Below,"[12, 18, 10751]",2006,en,6.7
The Intern,[35],2015,en,7.1
Ride Along 2,"[28, 35]",2016,en,6.1
The Last of the Mohicans,"[28, 12, 18, 36, 10749, 10752]",1992,en,7.1
Ray,"[18, 10402]",2004,en,7.2
Sin City,"[28, 53, 80]",2005,en,7.2
Vantage Point,"[18, 28, 53, 80]",2008,en,6.2
"I Love You, Man",[35],2009,en,6.5
Shallow Hal,"[35, 10749]",2001,en,5.7
JFK,"[18, 53, 36]",1991,en,7.5
Big Momma's House 2,"[35, 80]",2006,en,5.4
The Mexican,"[28, 35, 80, 10749]",2001,en,5.8
17 Again,[35],2009,en,6.1
The Other Woman,"[35, 10749]",2014,en,6.2
The Final Destination,"[27, 9648]",2009,en,5.4
Bridge of Spies,"[53, 18]",2015,en,7.2
Behind Enemy Lines,"[28, 18, 53, 10752]",2001,en,6.0
Get Him to the Greek,[35],2010,en,5.9
Shall We Dance?,"[18, 10749, 35]",2004,en,5.9
Small Soldiers,"[35, 12, 14, 878, 28]",1998,en,6.2
Spawn,"[28, 12, 14, 27, 878, 53]",1997,en,5.0
The Count of Monte Cristo,"[28, 12, 18, 53]",2002,en,7.3
The Lincoln Lawyer,"[80, 18, 53]",2011,en,7.0
Unknown,"[28, 9648, 53]",2011,en,6.5
The Prestige,"[18, 9648, 53]",2006,en,8.0
Horrible Bosses 2,[35],2014,en,6.1
Escape from Planet Earth,"[16, 35, 12, 10751, 878]",2013,en,5.7
Apocalypto,"[28, 12, 18, 53]",2006,en,7.3
The Living Daylights,"[28, 12, 53]",1987,en,6.2
Predators,"[28, 878, 12, 53]",2010,en,6.0
Legal Eagles,"[35, 80, 18, 10749, 53]",1986,en,5.8
Secret Window,"[53, 9648]",2004,en,6.4
The Lake House,"[10749, 18, 9648]",2006,en,6.5
The Skeleton Key,"[18, 27, 9648, 53]",2005,en,6.4
The Odd Life of Timothy Green,"[14, 18, 35, 10751]",2012,en,6.5
Made of Honor,"[35, 10749]",2008,en,6.0
Jersey Boys,"[10402, 18]",2014,en,6.8
The Rainmaker,"[18, 80, 53]",1997,en,6.7
Gothika,"[27, 53]",2003,en,5.8
Amistad,"[18, 36, 9648]",1997,en,6.8
Medicine Man,[12],1992,en,5.8
Aliens vs Predator: Requiem,"[14, 28, 878, 53, 27]",2007,en,4.9
Ri¢hie Ri¢h,"[35, 10751]",1994,en,5.4
Autumn in New York,"[18, 10749]",2000,en,5.7
Music and Lyrics,"[35, 10402, 10749]",2007,en,6.2
Paul,"[12, 35, 878]",2011,en,6.5
The Guilt Trip,[35],2012,en,5.4
Scream 4,"[27, 9648]",2011,en,6.1
8MM,"[53, 80, 9648]",1999,en,6.1
The Doors,"[18, 10402]",1991,en,6.7
Sex Tape,[35],2014,en,5.3
Hanging Up,"[35, 18]",2000,en,5.0
Final Destination 5,"[27, 9648]",2011,en,5.9
Mickey Blue Eyes,"[35, 80, 10749]",1999,en,5.3
Pay It Forward,"[18, 10749]",2000,en,7.0
Fever Pitch,"[35, 18, 10749]",2005,en,5.9
Drillbit Taylor,[35],2008,en,5.5
A Million Ways to Die in the West,"[35, 37]",2014,en,5.8
The Shadow,"[12, 14, 28, 53, 878]",1994,en,5.4
Extremely Loud & Incredibly Close,[18],2011,en,6.9
Morning Glory,"[35, 18, 10749]",2010,en,6.1
Get Rich or Die Tryin',[18],2005,en,6.3
The Art of War,"[80, 28, 12]",2000,en,5.6
Rent,"[18, 10749]",2005,en,6.7
Bless the Child,"[18, 27, 53, 80]",2000,en,4.9
The Out-of-Towners,[35],1999,en,5.0
The Island of Dr. Moreau,"[14, 27, 878]",1996,en,4.6
The Musketeer,"[28, 12, 18]",2001,en,5.2
The Other Boleyn Girl,[18],2008,en,6.4
Sweet November,"[18, 10749]",2001,en,6.4
The Reaping,[27],2007,en,5.4
Mean Streets,"[18, 80]",1973,en,7.2
Renaissance Man,"[35, 10752]",1994,en,5.9
Colombiana,"[28, 53, 80, 18]",2011,en,6.5
Quest for Camelot,"[14, 16, 18, 10749, 10751]",1998,en,6.9
City By The Sea,"[80, 18, 9648]",2002,en,5.7
At First Sight,"[18, 10749]",1999,en,5.9
Torque,[28],2004,en,4.7
City Hall,"[18, 53]",1996,en,6.0
Showgirls,[18],1995,en,4.9
Marie Antoinette,"[18, 36]",2006,en,6.5
Kiss of Death,"[28, 80, 18, 53]",1995,en,5.7
Get Carter,"[28, 18, 53, 80]",2000,en,4.8
The Impossible,"[53, 18]",2012,en,7.0
Ishtar,"[28, 12, 35]",1987,en,4.2
Fantastic Mr. Fox,"[12, 16, 35, 10751]",2009,en,7.5
Life or Something Like It,"[35, 18, 10749]",2002,en,5.7
Memoirs of an Invisible Man,"[35, 14, 878]",1992,en,5.7
Amélie,"[35, 10749]",2001,fr,7.8
New York Minute,[35],2004,en,5.5
Alfie,[35],2004,en,5.6
Big Miracle,"[12, 18, 10749]",2012,en,6.6
The Deep End of the Ocean,"[18, 9648]",1999,en,5.9
FearDotCom,"[27, 53]",2002,en,3.2
Cirque du Freak: The Vampire's Assistant,"[12, 14, 28, 53]",2009,en,5.5
Duplex,"[28, 35, 53]",2003,en,5.9
Soul Men,"[35, 10402]",2008,en,6.3
Raise the Titanic,"[28, 18, 53]",1980,en,5.2
Universal Soldier: The Return,"[28, 878]",1999,en,4.2
Pandorum,"[28, 27, 9648, 878, 53]",2009,en,6.5
Impostor,"[28, 878, 53]",2001,en,6.1
Extreme Ops,"[28, 12, 18, 53]",2002,en,5.0
Just Visiting,"[35, 14, 878]",2001,en,4.8
Sunshine,"[878, 53]",2007,en,7.0
A Thousand Words,"[18, 35]",2012,en,6.0
Delgo,"[12, 14, 16, 35, 878, 10751]",2008,en,5.4
The Gunman,"[28, 18, 80]",2015,en,5.5
Stormbreaker,"[12, 28, 10751]",2006,en,5.1
Disturbia,"[53, 18, 9648]",2007,en,6.6
Hackers,"[28, 80, 53, 18]",1995,en,6.2
The Hunting Party,"[28, 12, 53, 18]",2007,en,6.6
The Hudsucker Proxy,"[35, 18]",1994,en,7.1
The Warlords,"[28, 18, 36]",2007,zh,6.3
Nomad: The Warrior,"[28, 36, 10752]",2005,en,4.3
Snowpiercer,"[28, 878, 18]",2013,ko,6.7
A Monster in Paris,"[12, 16, 35, 10751, 14]",2011,fr,6.5
The Last Shot,"[28, 35]",2004,en,5.9
The Crow,"[14, 28, 53]",1994,en,7.3
Baahubali: The Beginning,"[28, 12, 10752, 36]",2015,te,7.5
The Time Traveler's Wife,"[18, 10749, 14]",2009,en,6.7
Because I Said So,[35],2007,en,5.8
Frankenweenie,"[16, 35, 10751]",2012,en,6.6
Serenity,"[878, 28, 12, 53]",2005,en,7.4
Against the Ropes,"[10749, 18]",2004,en,4.5
Superman III,"[35, 28, 12, 14, 878]",1983,en,5.3
Grudge Match,[35],2013,en,6.0
Red Cliff,"[12, 18, 28]",2008,zh,7.1
Sweet Home Alabama,"[35, 10749]",2002,en,6.0
The Ugly Truth,"[35, 10749]",2009,en,6.4
Sgt. Bilko,"[35, 10751]",1996,en,5.5
Spy Kids 2: The Island of Lost Dreams,"[28, 12, 10751]",2002,en,5.3
Star Trek: Generations,"[878, 28, 12, 53]",1994,en,6.4
The Grandmaster,"[28, 18, 36]",2013,zh,6.3
Water for Elephants,"[18, 10749]",2011,en,6.7
Dragon Nest: Warriors' Dawn,"[12, 10751, 14, 16]",2014,zh,6.8
The Hurricane,[18],1999,en,7.2
Enough,"[18, 53]",2002,en,6.2
Heartbreakers,"[80, 35, 10749]",2001,en,5.7
Paul Blart: Mall Cop 2,"[28, 35, 10751]",2015,en,5.0
Angel Eyes,"[18, 10749, 53]",2001,en,5.6
Joe Somebody,[35],2001,en,5.5
The Ninth Gate,"[27, 9648, 53]",1999,en,6.3
Extreme Measures,"[18, 53]",1996,en,5.7
Rock Star,"[10402, 18, 35]",2001,en,6.0
Precious,[18],2009,en,6.9
White Squall,"[28, 18]",1996,en,6.3
The Thing,"[27, 9648, 878]",1982,en,7.8
Riddick,"[878, 28, 53]",2013,en,6.2
Switchback,"[28, 12, 9648, 53]",1997,en,5.8
Texas Rangers,"[28, 37]",2001,en,5.4
City of Ember,"[12, 10751, 14]",2008,en,6.2
The Master,[18],2012,en,7.0
Virgin Territory,"[12, 28, 35, 10749]",2007,en,4.3
The Express,[18],2008,en,7.1
The 5th Wave,"[12, 878]",2016,en,5.6
Creed,[18],2015,en,7.3
The Town,"[80, 18, 53]",2010,en,7.0
What to Expect When You're Expecting,"[10749, 35, 18]",2012,en,5.8
Burn After Reading,"[35, 18]",2008,en,6.5
Nim's Island,"[12, 35, 10751, 14]",2008,en,5.6
Rush,"[18, 28]",2013,en,7.7
Magnolia,[18],1999,en,7.5
Cop Out,"[28, 35, 80]",2010,en,5.3
How to Be Single,"[35, 10749]",2016,en,5.9
Dolphin Tale,"[18, 10751]",2011,en,6.7
Twilight,"[12, 14, 18, 10749]",2008,en,5.8
John Q,"[18, 53, 80]",2002,en,7.0
Blue Streak,"[28, 35, 80]",1999,en,6.1
We're the Millers,"[35, 80]",2013,en,6.8
The Inhabited Island,"[28, 14, 878, 53]",2008,ru,5.3
Breakdown,"[18, 28, 53]",1997,en,6.6
Never Say Never Again,"[12, 28, 53]",1983,en,5.8
Hot Tub Time Machine,"[878, 35, 12]",2010,en,6.0
Dolphin Tale 2,"[10751, 18]",2014,en,6.7
Reindeer Games,[53],2000,en,5.4
A Man Apart,"[28, 18]",2003,en,5.8
Aloha,"[18, 35, 10749]",2015,en,5.2
Ghosts of Mississippi,"[36, 18]",1996,en,6.2
Snow Falling on Cedars,"[18, 10749]",1999,en,6.3
The Rite,"[18, 53, 27]",2011,en,5.8
Gattaca,"[53, 878, 9648, 10749]",1997,en,7.5
Isn't She Great,"[18, 35]",2000,de,4.6
Space Chimps,"[16, 10751]",2008,en,5.2
Head of State,[35],2003,en,5.3
The Hangover,[35],2009,en,7.2
Ip Man 3,"[28, 18, 36]",2015,cn,6.5
Austin Powers: The Spy Who Shagged Me,"[12, 35, 80, 878]",1999,en,6.2
Batman,"[14, 28]",1989,en,7.0
There Be Dragons,[18],2011,en,5.9
Lethal Weapon 3,"[12, 28, 35, 53, 80]",1992,en,6.4
The Blind Side,[18],2009,en,7.2
Spy Kids,"[28, 35, 10751, 12]",2001,en,5.5
Horrible Bosses,"[35, 80]",2011,en,6.5
True Grit,"[18, 12, 37]",2010,en,7.2
The Devil Wears Prada,"[35, 18, 10749]",2006,en,7.0
Star Trek: The Motion Picture,"[878, 12, 9648]",1979,en,6.2
Identity Thief,"[35, 80]",2013,en,5.6
Cape Fear,"[80, 53]",1991,en,7.0
21,"[18, 80]",2008,en,6.5
Trainwreck,[35],2015,en,5.9
Guess Who,"[35, 10749]",2005,en,5.5
The English Patient,"[18, 10749, 10752]",1996,en,7.0
L.A. Confidential,"[80, 18, 9648, 53]",1997,en,7.7
Sky High,"[12, 35, 10751]",2005,en,5.8
In & Out,"[35, 10749]",1997,en,6.3
Species,"[878, 27, 28]",1995,en,5.5
A Nightmare on Elm Street,[27],1984,en,7.2
The Cell,"[27, 878, 53]",2000,en,6.0
The Man in the Iron Mask,"[28, 12, 18]",1998,en,6.3
Secretariat,[18],2010,en,6.8
TMNT,"[12, 16, 35, 10751]",2007,en,6.0
Radio,[18],2003,en,6.8
Friends with Benefits,"[10749, 35]",2011,en,6.5
Neighbors 2: Sorority Rising,[35],2016,en,5.6
Saving Mr. Banks,"[35, 18, 36]",2013,en,7.3
Malcolm X,"[18, 36]",1992,en,7.2
This Is 40,[35],2012,en,5.6
Old Dogs,"[35, 10751]",2009,en,5.2
Underworld: Rise of the Lycans,"[14, 28, 12, 878, 53]",2009,en,6.2
License to Wed,[35],2007,en,5.2
The Benchwarmers,[35],2006,en,5.2
Must Love Dogs,"[35, 10749]",2005,en,5.8
Donnie Brasco,"[80, 18, 53]",1997,en,7.4
Resident Evil,"[27, 28, 878]",2002,en,6.4
Poltergeist,[27],1982,en,7.0
The Ladykillers,"[35, 80, 53]",2004,en,6.0
Max Payne,[28],2008,en,5.2
In Time,"[28, 53, 878]",2011,en,6.7
The Back-Up Plan,"[35, 10749]",2010,en,5.7
Something Borrowed,"[35, 18, 10749]",2011,en,5.9
Black Knight,"[12, 35, 14]",2001,en,5.1
The Bad News Bears,"[35, 10751]",1976,en,6.9
Street Fighter,"[28, 12, 53]",1994,en,4.1
The Pianist,"[18, 10752]",2002,en,8.0
The Nativity Story,"[18, 36]",2006,en,6.4
House of Wax,[27],2005,en,5.5
Closer,"[18, 10749]",2004,en,6.7
J. Edgar,"[18, 80, 36]",2011,en,6.0
Mirrors,"[27, 9648, 53]",2008,en,6.0
Queen of the Damned,"[18, 14, 27]",2002,en,5.4
Predator 2,"[878, 28, 53]",1990,en,5.9
Untraceable,[18],2008,en,5.9
Blast from the Past,"[35, 10749]",1999,en,6.3
Flash Gordon,[878],1980,en,6.1
Jersey Girl,"[35, 10749]",2004,en,5.8
Alex Cross,"[28, 53, 80, 9648]",2012,en,5.1
Midnight in the Garden of Good and Evil,"[80, 18, 9648, 53]",1997,en,6.3
Heist,"[80, 28, 53]",2015,en,5.6
Nanny McPhee and the Big Bang,"[35, 14]",2010,en,6.0
Hoffa,"[80, 36]",1992,en,6.1
The X Files: I Want to Believe,"[18, 9648, 878, 53]",2008,en,5.5
Ella Enchanted,"[10751, 14, 35]",2004,en,5.9
Concussion,[18],2015,en,7.0
Abduction,"[53, 28, 9648]",2011,en,5.6
Valiant,"[16, 10751, 12]",2005,en,5.2
Wonder Boys,"[35, 18]",2000,en,6.9
Superhero Movie,"[28, 35, 878]",2008,en,4.9
Broken City,"[53, 80, 18]",2013,en,5.7
Cursed,"[27, 35]",2005,en,5.1
Premium Rush,"[80, 28, 53]",2012,en,6.2
Hot Pursuit,"[28, 35, 80]",2015,en,5.4
The Four Feathers,"[10752, 12, 18, 10749]",2002,en,6.5
Parker,"[28, 80]",2013,en,5.7
Wimbledon,"[35, 10749]",2004,en,6.0
Furry Vengeance,[35],2010,en,4.6
Bait,"[28, 27, 53]",2012,en,5.3
Krull,"[14, 28, 12]",1983,en,5.8
Lions for Lambs,"[28, 12, 18, 36]",2007,en,6.0
Flight of the Intruder,"[28, 12, 18, 53]",1991,en,5.7
Walk Hard: The Dewey Cox Story,"[35, 10402]",2007,en,6.6
The Shipping News,"[18, 10749]",2001,en,6.4
American Outlaws,"[28, 37]",2001,en,5.7
The Young Victoria,"[18, 36, 10749]",2009,en,7.0
Whiteout,"[28, 80, 9648, 53]",2009,en,5.3
The Tree of Life,"[18, 14]",2011,en,6.5
Knock Off,"[28, 12, 53]",1998,en,4.7
Sabotage,"[28, 18, 53, 80]",2014,en,5.5
The Order,"[18, 14, 27, 9648, 10749, 53]",2003,en,4.8
Punisher: War Zone,"[28, 80]",2008,en,5.6
Zoom,"[10751, 14, 35]",2006,en,4.9
The Walk,"[12, 18, 53]",2015,en,6.9
Warriors of Virtue,"[14, 10751, 28]",1997,en,4.7
A Good Year,"[35, 18, 10749]",2006,en,6.5
Radio Flyer,[18],1992,en,6.6
Bound by Honor,"[28, 80, 18, 53]",1993,en,7.7
Smilla's Sense of Snow,"[28, 80, 18, 9648, 53]",1997,en,6.6
Femme Fatale,"[53, 80, 10749]",2002,en,6.2
Lion of the Desert,"[28, 36, 10752]",1981,en,7.4
The Horseman on the Roof,"[10752, 12, 18, 10749]",1995,en,6.7
Ride with the Devil,"[18, 10752, 10749, 37]",1999,en,6.6
Biutiful,[18],2010,es,7.0
Bandidas,"[28, 35, 37, 80]",2006,es,5.8
Black Water Transit,"[18, 80]",2009,en,0.0
The Maze Runner,"[28, 9648, 878, 53]",2014,en,7.0
Unfinished Business,[35],2015,en,5.0
The Age of Innocence,"[18, 10749]",1993,en,7.0
The Fountain,"[18, 12, 878, 10749]",2006,en,6.8
Chill Factor,"[28, 35, 53]",1999,en,5.3
Stolen,"[28, 80, 18, 53]",2012,en,5.1
Ponyo,"[16, 10751]",2008,ja,7.5
The Longest Ride,"[18, 10749]",2015,en,7.3
The Astronaut's Wife,"[18, 878, 53]",1999,en,5.4
I Dreamed of Africa,"[10749, 18, 12]",2000,en,5.3
Playing for Keeps,"[35, 10749]",2012,en,5.4
Mandela: Long Walk to Freedom,"[18, 36]",2013,en,6.5
Reds,"[18, 36]",1981,en,7.1
A Few Good Men,[18],1992,en,7.1
Exit Wounds,"[28, 80, 53]",2001,en,5.3
Big Momma's House,"[80, 35]",2000,en,5.6
Thunder and the House of Magic,"[10751, 14, 16, 12]",2013,en,6.3
The Darkest Hour,"[27, 28, 53, 878]",2011,en,4.8
Step Up Revolution,"[10402, 18, 10749]",2012,en,6.7
Snakes on a Plane,"[28, 80, 27, 53]",2006,en,5.1
The Watcher,"[9648, 53]",2000,en,4.9
The Punisher,"[28, 80, 18]",2004,en,6.1
Goal!: The Dream Begins,[18],2005,en,6.6
Safe,"[28, 80, 53]",2012,en,6.3
Pushing Tin,"[35, 18]",1999,en,5.7
Return of the Jedi,"[12, 28, 878]",1983,en,7.9
Doomsday,"[28, 53, 878]",2008,en,5.8
The Reader,"[18, 10749]",2008,en,7.2
Wanderlust,[35],2012,en,5.3
Elf,"[35, 10751, 14]",2003,en,6.4
Phenomenon,"[18, 14, 10749, 878]",1996,en,6.2
Snow Dogs,"[12, 35, 10751]",2002,en,5.3
Scrooged,"[14, 35, 18]",1988,en,6.7
Nacho Libre,"[35, 10751]",2006,en,5.6
Bridesmaids,"[35, 10749]",2011,en,6.5
This Is the End,"[28, 35]",2013,en,6.3
Stigmata,[27],1999,en,6.0
Men of Honor,[18],2000,en,7.0
Takers,"[28, 80, 18, 53]",2010,en,6.0
The Big Wedding,[35],2013,en,5.7
"Big Mommas: Like Father, Like Son","[80, 35, 28]",2011,en,5.3
Source Code,"[53, 878, 9648]",2011,en,7.1
Alive,"[28, 12, 18, 53]",1993,en,6.7
The Number 23,"[53, 18, 9648]",2007,en,6.3
The Young and Prodigious T.S. Spivet,"[12, 18, 10751]",2013,en,6.7
1941,"[28, 35]",1979,en,5.6
Dreamer: Inspired By a True Story,"[18, 10751]",2005,en,6.3
A History of Violence,"[18, 53, 80]",2005,en,6.9
Transporter 2,"[28, 53, 80]",2005,en,6.2
The Quick and the Dead,"[28, 37]",1995,en,6.3
Laws of Attraction,"[28, 35, 10749, 53]",2004,en,5.6
Bringing Out the Dead,[18],1999,en,6.6
Repo Men,"[28, 878, 53, 80]",2010,en,6.2
Dragon Wars: D-War,"[14, 18, 27, 28, 53, 878]",2007,ko,4.0
Bogus,"[14, 35, 10751]",1996,en,5.4
The Incredible Burt Wonderstone,[35],2013,en,5.3
Cats Don't Dance,"[16, 35, 10751, 10402]",1997,en,7.1
Cradle Will Rock,[18],1999,en,7.2
The Good German,"[10752, 80, 18, 9648, 10749, 53]",2006,en,5.9
George and the Dragon,[12],2004,en,5.0
Apocalypse Now,"[18, 10752]",1979,en,8.0
Going the Distance,"[35, 18, 10749]",2010,en,6.0
Mr. Holland's Opus,"[10402, 18, 10751]",1995,en,6.9
Criminal,[28],2016,en,5.7
Out of Africa,[18],1985,en,7.0
Flight,[18],2012,en,6.5
Moonraker,"[28, 12, 53, 878]",1979,en,5.9
The Grand Budapest Hotel,"[35, 18]",2014,en,8.0
Hearts in Atlantis,"[18, 9648]",2001,en,6.4
Arachnophobia,"[35, 27]",1990,en,6.2
Frequency,"[80, 18, 878, 53]",2000,en,7.0
Vacation,[35],2015,en,6.2
Get Shorty,"[35, 53, 80]",1995,en,6.4
Chicago,"[28, 35, 80, 18, 10402]",2002,en,6.9
Big Daddy,"[35, 18]",1999,en,6.1
American Pie 2,"[35, 10749]",2001,en,6.0
Toy Story,"[16, 35, 10751]",1995,en,7.7
Speed,"[28, 12, 80]",1994,en,6.8
The Vow,"[18, 10749]",2012,en,7.0
Extraordinary Measures,[18],2010,en,6.0
Remember the Titans,[18],2000,en,7.4
The Hunt for Red October,"[28, 12, 53]",1990,en,7.2
The Butler,[18],2013,en,7.2
DodgeBall: A True Underdog Story,[35],2004,en,6.2
The Addams Family,"[27, 35, 14]",1991,en,6.7
Ace Ventura: When Nature Calls,"[80, 35, 12]",1995,en,6.1
The Princess Diaries,"[35, 10751, 10749]",2001,en,6.5
The First Wives Club,[35],1996,en,6.5
Se7en,"[80, 9648, 53]",1995,en,8.1
District 9,[878],2009,en,7.3
The SpongeBob SquarePants Movie,"[16, 35, 10751]",2004,en,6.7
Mystic River,"[53, 80, 18, 9648]",2003,en,7.6
Million Dollar Baby,[18],2004,en,7.7
Analyze This,"[35, 80]",1999,en,6.4
The Notebook,"[10749, 18]",2004,en,7.7
27 Dresses,"[35, 10749]",2008,en,6.1
Hannah Montana: The Movie,"[35, 18, 10751, 10402, 10749]",2009,en,6.0
Rugrats in Paris: The Movie,"[12, 16, 35, 10751]",2000,it,6.0
The Prince of Tides,"[18, 10749]",1991,en,5.9
Legends of the Fall,"[12, 18, 10749, 10752]",1994,en,7.2
Up in the Air,"[18, 10749]",2009,en,6.7
About Schmidt,"[18, 35]",2002,en,6.7
Warm Bodies,"[27, 35, 10749]",2013,en,6.4
Looper,"[28, 53, 878]",2012,en,6.6
Down to Earth,"[14, 35, 878, 10749]",2001,en,4.9
Babe,"[14, 18, 35, 10751]",1995,en,6.0
Hope Springs,"[18, 35, 10749]",2012,en,5.8
Forgetting Sarah Marshall,"[35, 10749, 18]",2008,en,6.4
Four Brothers,"[28, 80]",2005,en,6.7
Baby Mama,[35],2008,en,5.8
Hope Floats,"[18, 10749]",1998,en,5.8
Bride Wars,[35],2009,en,5.9
Without a Paddle,"[28, 12, 35, 53]",2004,en,5.3
13 Going on 30,"[35, 14, 10749]",2004,en,6.3
Midnight in Paris,"[14, 35, 10749]",2011,en,7.4
The Nut Job,"[16, 35, 10751, 12]",2014,en,5.5
Blow,"[80, 18]",2001,en,7.4
Message in a Bottle,"[10749, 18]",1999,en,5.8
Star Trek V: The Final Frontier,"[878, 28, 12, 53]",1989,en,5.6
Like Mike,"[35, 18, 10751, 14]",2002,en,5.7
The Naked Gun 33⅓: The Final Insult,"[35, 80]",1994,en,6.3
A View to a Kill,"[12, 28, 53]",1985,en,6.0
The Curse of the Were-Rabbit,"[12, 16, 35, 10751]",2005,en,6.8
P.S. I Love You,"[18, 10749]",2007,en,6.9
Racing Stripes,[35],2005,en,5.1
Atonement,"[18, 10749]",2007,en,7.4
Letters to Juliet,"[35, 18, 10749]",2010,en,6.6
Black Rain,"[28, 53, 80]",1989,en,6.2
The Three Stooges,[35],2012,en,4.9
Corpse Bride,"[10749, 14, 16, 10402]",2005,en,7.2
Glory Road,[18],2006,en,7.2
Sicario,"[28, 80, 18, 9648, 53]",2015,en,7.2
Southpaw,"[28, 18]",2015,en,7.3
Drag Me to Hell,"[27, 53]",2009,en,6.2
The Age of Adaline,"[14, 18, 10749]",2015,en,7.4
Secondhand Lions,"[35, 18, 10751]",2003,en,6.9
Step Up 3D,"[18, 10749]",2010,en,6.6
Blue Crush,[12],2002,en,5.6
Stranger Than Fiction,"[35, 18, 14, 10749]",2006,en,7.1
30 Days of Night,"[27, 53]",2007,en,6.2
The Cabin in the Woods,"[27, 53]",2012,en,6.5
Meet the Spartans,[35],2008,en,3.7
